kic refperiod myperiod
892376 1.532 14.604
1026146 14.891 14.604
1026474 1.569 1.565
1162635 15.678 15.463
1164102 31.496 13.835
1292688 42.659 43.812
1297303 27.333 13.835
1429921 23.131 11.429
1430349 34.717 16.43
1430893 17.045 17.525
1431060 39.682 21.906
1431116 38.757 12.518
1432700 31.733 14.604
1432745 22.189 21.906
1435229 23.469 11.429
1569682 17.354 8.762
1569863 13.321 13.144
1570915 12.315 11.949
1571364 20.449 10.111
1572802 0.374 0.371
1573478 18.018 16.43
1577265 15.153 7.511
1718071 21.712 21.906
1721911 29.62 17.525
1722506 10.653 10.515
1849590 16.197 16.43
1865663 31.319 15.463
1866535 24.925 12.518
1866924 27.24 26.287
1866986 37.348 18.777
1867358 32.879 16.43
1868579 38.173 32.859
1870952 24.278 23.898
1871120 37.851 37.553
1872885 1.872 1.864
1873523 20.429 18.777
1873543 11.548 11.429
1996574 20.48 10.515
2010738 26.741 13.835
2012731 36.258 17.525
2013627 13.96 13.835
2013754 4.9 4.96
2014203 10.796 10.953
2015703 22.448 11.429
2015767 18.502 18.777
2016979 17.253 17.525
2017692 11.431 11.429
2018383 30.372 29.208
2020185 21.537 21.906
2020638 18.35 9.065
2140909 38.622 20.221
2142372 18.641 18.777
2142451 33.671 16.43
2156061 30.03 25.725
2156718 21.665 21.906
2157356 13.607 13.835
2160105 17.089 17.525
2161569 21.366 10.515
2162907 26.5 13.144
2163101 25.637 13.144
2163610 42.246 21.906
2163634 30.462 13.835
2167693 17.575 17.525
2282712 20.167 18.777
2282944 32.307 16.43
2285598 37.057 43.812
2300039 1.712 1.707
2300440 21.326 20.221
2301872 22.888 23.898
2302851 12.217 12.518
2302997 25.602 26.287
2305760 19.57 18.777
2309152 31.901 15.463
2311842 19.754 18.777
2423549 39.804 13.144
2424688 11.095 10.953
2435893 41.146 20.221
2436635 1.175 1.168
2437270 23.778 11.949
2437317 36.913 37.553
2438151 49.379 52.575
2441409 25.364 26.287
2441562 10.104 10.111
2441891 15.472 15.463
2441989 38.393 37.553
2442004 8.865 9.065
2442866 2.934 2.921
2443037 11.652 11.949
2443364 35.915 37.553
2443935 34.068 16.43
2444406 16.625 16.43
2445782 27.609 26.287
2446934 26.101 13.144
2448311 24.021 23.898
2448958 23.051 16.43
2554730 45.962 43.812
2555523 26.121 26.287
2557350 18.979 9.388
2557669 1.864 1.864
2558314 27.59 26.287
2568503 34.241 16.43
2570277 45.99 43.812
2570846 10.913 10.515
2572352 39.222 43.812
2574013 44.623 12.518
2574427 13.635 13.835
2575433 15.568 15.463
2576013 23.532 23.898
2576328 11.569 11.429
2577210 31.136 29.208
2577743 32.181 32.859
2581298 17.539 17.525
2581444 11.976 11.949
2583553 25.117 23.898
2584692 42.211 14.604
2692704 14.903 14.604
2692708 29.878 29.208
2692772 28.03 29.208
2693993 23.701 23.898
2694414 19.741 9.736
2695622 16.171 16.43
2695885 56.728 52.575
2708172 38.828 37.553
2708787 23.83 23.898
2713086 4.14 4.107
2713304 29.857 14.604
2714000 26.884 13.835
2714077 13.802 13.835
2716857 8.698 9.065
2718397 22.446 23.898
2718781 23.378 11.429
2718935 33.05 14.604
2831983 10.039 10.111
2832175 18.987 18.777
2832398 14.707 14.604
2832720 24.142 10.953
2832741 19.892 10.515
2834075 37.55 12.518
2834564 21.875 21.906
2834612 13.436 13.144
2834637 23.227 23.898
2834754 27.236 26.287
2834778 41.079 20.221
2835051 39.835 52.575
2835274 13.36 13.144
2835393 14.995 14.604
2836098 29.358 29.208
2837126 34.624 17.525
2845689 13.555 13.835
2847357 32.441 15.463
2852669 12.27 11.949
2859045 24.459 23.898
2859114 38.698 43.812
2860547 25.968 26.287
2861126 16.134 17.525
2861880 25.844 13.144
2865225 27.452 14.346
2969839 36.292 17.525
2971272 17.206 8.48
2971717 11.846 11.949
2973297 25.092 23.898
2973361 45.917 43.812
2973500 19.597 18.777
2973800 30.939 29.208
2982913 18.59 9.388
2984144 34.277 17.525
2985366 0.244 0.24
2987754 21.995 21.906
2988084 32.258 15.463
2988458 17.658 17.525
2989438 21.621 10.953
2992347 31.286 15.463
2992668 15.095 15.463
2994087 31.335 15.463
2994746 38.466 21.906
2995880 19.616 20.221
2997195 16.085 16.43
2998208 22.168 21.906
3096944 43.328 17.525
3099491 34.991 13.835
3099533 39.259 37.553
3099900 18.095 18.777
3100994 31.992 16.43
3101007 13.451 14.604
3101129 27.394 26.287
3101830 24.516 11.949
3102749 8.163 7.105
3102763 14.561 14.604
3103752 4.785 4.96
3109825 13.318 13.144
3109945 45.448 21.906
3110319 16.643 16.43
3110684 33.076 32.859
3111995 37.751 12.518
3112017 16.408 16.43
3112821 11.387 11.429
3112828 9.949 10.111
3112866 38.283 43.812
3112890 7.548 7.732
3115879 37.107 52.575
