 source_id mh_xgboost BP-G Prot
0 2049135601386711936 0.169 0.412117 0.981
1 2049136082423106432 0.028 0.281235 17.499
2 2049136391660792576 -0.0 0.815768 23.586
3 2049136735258093056 0.03 0.335595 22.795
4 2049137353733446272 0.063 0.378536 4.492
5 2049137594251630080 0.182 0.580844 24.274
6 2050190548423109248 -0.107 0.447448 11.075
7 2050231505232662272 0.128 0.357074 54.874
8 2050232256840088960 0.031 0.366071 5.753
9 2050232639104043904 -0.102 0.573022 26.999
10 2050233601176543104 -0.332 0.457308 0.367
11 2050237380747974016 0.052 0.39548 21.598
12 2050237758705104896 -0.016 0.471045 28.211
13 2050237930503862016 0.035 0.504564 14.878
14 2050238033583090688 0.145 0.610249 8.829
15 2050238063650636544 0.044 0.517707 25.467
16 2050238136662521856 -0.108 0.587979 34.523
17 2050239511051851136 -0.032 0.59195 1.257
18 2050240885441462400 -0.122 0.965142 15.678
19 2050241710075252352 -0.024 0.373575 6.625
20 2050243634220456448 -0.169 0.373796 19.388
21 2050245901963299328 0.31 0.522438 21.216
22 2050253667263886720 -0.147 0.679973 25.155
23 2050254457537860608 0.248 0.382707 18.437
24 2050254491897606784 -0.224 1.014525 42.659
25 2050257652993785600 0.178 0.526229 51.563
26 2050257790432779392 -0.066 0.532808 31.806
27 2050261703139922176 0.285 0.699656 39.682
28 2050262188479285632 0.211 0.661257 38.757
29 2050262806954650624 -0.078 0.877063 17.045
30 2051006764005686144 0.033 0.52324 35.564
31 2051009203547034112 -0.221 0.484735 22.179
32 2051010921534018304 0.026 0.367136 0.585
33 2051011299491171712 -0.18 0.382251 8.637
34 2051011540009372288 -0.137 0.690351 34.717
35 2051012845679752320 -0.052 0.755245 23.131
36 2051014804184830080 -0.068 0.644969 20.449
37 2051015972415644800 -0.264 0.53299 3.234
38 2051016419092259584 -0.126 0.79107 12.315
39 2051016797049427968 -0.043 0.543447 9.726
40 2051016968848014976 -0.063 0.450981 19.862
41 2051017827841550464 0.12 0.409332 5.613
42 2051018205798742656 0.135 0.40381 13.941
43 2051018996072807936 0.086 0.567763 17.815
44 2051022397686571008 -0.122 0.491965 21.682
45 2051022599545802496 0.188 0.384731 22.514
46 2051023016161911680 -0.03 0.286634 1.894
47 2051023359759323136 0.019 0.412773 18.647
48 2051024287472276992 -0.056 0.550286 29.431
49 2051027208049976320 0.192 0.506686 29.251
50 2051029956829203200 -0.061 0.277052 6.98
51 2051031017680073984 0.136 0.464181 22.79
52 2051031709175938688 0.027 0.438169 14.861
53 2051031709175944192 -0.096 0.445745 14.32
54 2051031880974676608 -0.029 0.580547 22.505
55 2051032155852580608 -0.105 0.588408 21.602
56 2051032293291440256 0.106 0.568274 36.879
57 2051032636889002880 0.25 0.48597 40.123
58 2051032705608343168 0.186 0.342697 9.839
59 2051032946126550144 0.207 0.755548 31.319
60 2051034457955133824 0.023 0.293877 14.219
61 2051035145149893376 -0.101 0.348926 8.633
62 2051035591826501632 -0.04 0.312411 8.27
63 2051036897496570880 -0.077 0.398795 17.308
64 2051037275453705600 0.02 0.360981 11.876
65 2051076411196805248 -0.148 0.417686 19.181
66 2051076892233181440 0.074 0.287528 7.284
67 2051080637444736384 -0.074 0.378236 15.175
68 2051081290279704448 -0.273 0.365148 18.523
69 2051084210857809536 -0.103 0.304581 4.877
70 2051084554455236352 -0.058 0.333413 10.707
71 2051085585247335936 -0.243 0.33067 22.558
72 2051085585247338624 0.271 0.42681 19.082
73 2051085619607113600 0.107 0.75014 21.665
74 2051085825765600896 0.142 0.557864 25.94
75 2051094175181542272 -0.315 0.32008 12.338
76 2051094862376832640 -0.104 0.340343 2.383
77 2051097370637225216 0.022 0.46425 10.836
78 2051098435789124736 -0.012 0.342835 12.265
79 2051101287647613056 0.193 0.4484 15.301
80 2051101906123017728 -0.126 0.590378 17.307
81 2051103108713923968 0.03 0.509144 13.296
82 2051104276944815744 0.023 0.319805 11.702
83 2051105307736986496 0.02 0.368964 14.657
84 2051106338529274240 -0.218 0.28984 2.985
85 2051106853925428736 -0.106 0.546723 30.677
86 2051107472400670720 -0.14 0.960414 10.913
87 2051292980625569792 0.186 0.56559 23.879
88 2051293083704793856 -0.279 0.482397 16.415
89 2051294767332396032 -0.099 0.286077 2.994
90 2051297206873964928 -0.189 0.762069 38.828
91 2051301536201015168 -0.171 0.492022 52.134
92 2051305934247185408 0.107 0.290298 1.151
93 2051309194119858816 -0.027 0.838806 13.555
94 2051310504092443520 -0.084 0.311561 3.54
95 2051311500524964096 0.071 0.607615 16.655
96 2051312428237886976 -0.341 0.40335 19.75
97 2051314455462637312 0.07 0.56541 9.686
98 2051314592901555584 -0.15 0.682117 34.277
99 2051318544271551744 0.106 0.286149 4.403
100 2051318716070168576 0.246 0.607574 28.673
101 2051319162746852608 0.099 0.408749 17.977
102 2051357542575635584 -0.012 0.435131 12.643
103 2051361631384520320 -0.053 0.654363 26.84
104 2051361803183234176 -0.05 1.037086 13.318
105 2051362902694854272 0.116 0.380333 21.936
106 2051365823272809984 -0.051 0.440848 4.558
107 2051365926352044928 -0.008 0.453064 11.966
108 2051366029431306624 -0.06 0.401438 15.187
109 2051366441748190080 0.03 0.479595 29.659
110 2051367640037037312 -0.131 0.271206 14.194
111 2051367678698540544 -0.067 1.23245 45.448
112 2051367781777776256 -0.298 0.320908 1.665
113 2051368537692069120 -0.275 0.476646 4.321
114 2051370702355713920 -0.012 0.450754 19.514
115 2051370702355722880 -0.228 0.568957 25.077
116 2051371492629688192 0.048 0.380166 18.449
117 2051371939306341632 0.06 0.695175 30.595
118 2051381078996539008 -0.367 0.326008 19.227
119 2051385030366607360 0.074 0.357809 1.823
120 2051385197863334016 -0.296 0.383343 23.112
121 2051385889359956480 -0.249 0.478362 19.771
122 2051627026006542848 0.117 0.375023 12.001
123 2051633176399732224 0.32 0.397016 9.623
124 2051635066185382656 0.068 0.504523 16.488
125 2051657193857592064 -0.002 1.000529 17.575
126 2051657846692658176 0.09 0.495594 10.413
127 2051658259009408896 0.107 0.498521 9.772
128 2051659186722369664 -0.247 0.339707 16.748
129 2051659530319748736 0.083 0.394669 11.053
130 2051660217514564992 -0.233 0.28835 3.386
131 2051660801630157312 -0.198 0.46314 5.468
132 2051660973428837760 0.129 0.513775 33.151
133 2051662657056047104 -0.163 0.3532 9.029
134 2051662961989408384 -0.148 0.391351 22.764
135 2051663619128743680 0.041 0.534497 13.575
136 2051664031445617536 0.268 0.518076 21.964
137 2051664508177693952 -0.003 0.486621 9.049
138 2051664684280725248 -0.014 0.510962 19.485
139 2051666196109229824 0.086 0.504903 25.028
140 2051666574066366848 -0.148 0.485744 22.026
141 2051667325679376768 -0.029 0.27312 1.74
142 2051668429492123904 0.124 0.495474 13.591
143 2051669151046707840 0.043 0.426696 18.053
144 2051669563363588352 -0.334 0.316183 1.896
145 2051688667374073472 -0.089 0.490356 13.357
146 2051695333163049344 -0.072 0.645529 28.638
147 2051695470602017280 -0.026 0.842219 31.496
148 2051699937368191744 0.019 0.483949 27.257
149 2051700349685078656 -0.031 0.647647 19.382
150 2051700762001969920 0.108 0.440766 19.526
151 2051700796361622912 0.013 0.576234 10.002
152 2051704021876984960 0.095 0.472324 12.757
153 2051704232335480320 0.003 0.269801 8.727
154 2051704953890021504 0.045 0.359535 10.446
155 2051705190108058112 -0.08 0.47976 11.317
156 2051712616112104704 0.173 0.322521 5.579
157 2051719247542076672 0.07 0.388829 9.042
158 2051719556779467136 -0.148 0.49698 25.385
159 2051720828089847936 -0.194 0.483617 17.981
160 2051722580436685312 -0.043 0.431307 11.728
161 2051723057169052544 -0.051 0.457253 10.734
162 2051723576869159936 0.087 0.55053 24.226
163 2051723954825689856 -0.057 0.710743 27.333
164 2051724092264677248 0.312 0.596491 32.071
165 2051724573301083520 -0.062 0.635372 22.376
