,Prot,bp_rp,abs_G,source_id,ruwe,survey
136605,21.78,1.0474482,5.355786890459733,2050234735047928320,1.3505954,Kepler
136606,5.78,0.87486744,1.841301834006547,2050232256840088960,0.9240205,Kepler
136607,21.19,0.92584324,5.158104386306057,2050237380747974016,1.0115082,Kepler
136608,10.81,0.86205006,3.159112209206695,2050190479703630464,1.0447928,Kepler
136609,10.98,1.0284443,2.577626042862633,2050190548423109248,1.0052588,Kepler
136610,15.56,0.81615543,4.368218828996273,2050238961295978240,1.0583249,Kepler
136611,16.35,0.7713871,4.00951259097296,2050239751570082432,0.99630713,Kepler
136612,26.82,0.95311546,5.158089981995076,2050192708796263168,0.98033893,Kepler
136613,18.76,0.73938274,4.302913353969908,2050192919245159808,0.9380756,Kepler
136614,2.39,0.6742115,3.731982497238846,2050249127471618560,1.2653402,Kepler
136615,32.59,0.9588537,5.428594308883289,2050255209148960384,1.0884577,Kepler
136616,6.57,0.8131218,4.680329927460365,2050243187543742336,0.99156,Kepler
136617,6.14,0.79311466,2.954544549512086,2050243909098361856,0.9349008,Kepler
136618,28.77,1.0662098,5.266807487391528,2050241022880385536,1.031027,Kepler
136619,6.52,0.8862448,5.050135379557474,2050241710075252352,0.9891382,Kepler
136620,23.82,0.80332375,2.791035341933764,2051741714507704832,0.92719024,Kepler
136621,5.37,0.8666935,4.258399147010097,2051694989565637760,0.97378016,Kepler
136622,4.34,0.61935997,3.435761355020535,2051696157796813312,0.93791765,Kepler
136623,1.09,0.78112316,2.216122873410807,2051004702421303296,0.98287094,Kepler
136624,18.34,0.90043736,4.8182758709324585,2050254457537860608,0.9714061,Kepler
136625,5.41,0.7567167,3.4437402834975064,2050257412475567744,1.0111246,Kepler
136626,107.24,1.1681576,3.3621980893432486,2050257652993785600,0.97143155,Kepler
136627,20.21,0.9620886,3.4544066338198665,2051697287365993472,1.0429786,Kepler
136628,13.15,0.7933092,4.675560953838906,2051744433230856192,1.0291814,Kepler
136629,27.81,1.0332918,5.549463821988537,2051698975295406208,0.9214772,Kepler
