,Unnamed: 0,Prot,bp_rp,abs_G,source_id,ruwe,survey
1,136606,5.78,0.87486744,1.841301834006547,2050232256840088960,0.9240205,Kepler
2,136607,21.19,0.92584324,5.158104386306057,2050237380747974016,1.0115082,Kepler
4,136609,10.98,1.0284443,2.577626042862633,2050190548423109248,1.0052588,Kepler
11,136616,6.57,0.8131218,4.680329927460365,2050243187543742336,0.99156,Kepler
14,136619,6.52,0.8862448,5.050135379557474,2050241710075252352,0.9891382,Kepler
16,136621,5.37,0.8666935,4.258399147010097,2051694989565637760,0.97378016,Kepler
19,136624,18.34,0.90043736,4.8182758709324585,2050254457537860608,0.9714061,Kepler
21,136626,107.24,1.1681576,3.3621980893432486,2050257652993785600,0.97143155,Kepler
23,136628,13.15,0.7933092,4.675560953838906,2051744433230856192,1.0291814,Kepler
32,136637,26.08,0.913682,5.0523754440118385,2051749793349996160,1.0109978,Kepler
33,136638,12.1,0.9625349,4.817750156298207,2051748590759138944,1.1179557,Kepler
38,136643,12.61,1.0900049,5.570382443809596,2051704021876984960,1.179327,Kepler
39,136644,8.56,0.67837715,2.6596300207573194,2051704232335480320,0.9155678,Kepler
40,136645,10.3,0.8365774,4.795827937321421,2051704953890021504,1.0560194,Kepler
41,136646,19.66,1.0073576,5.4153998897797475,2051700762001969920,0.9736227,Kepler
42,136647,5.68,0.78401375,3.2181635951695036,2051712616112104704,1.0256582,Kepler
46,136651,1.86,0.7209406,4.168263447294379,2051023016161911680,1.0150937,Kepler
47,136652,18.21,0.97258854,3.6755857457945087,2051023359759323136,1.0329564,Kepler
48,136653,8.56,0.9155445,2.3628207506608376,2051011299491171712,1.0340947,Kepler
53,136658,3.93,0.9366226,4.613906953260715,2051764052641296512,1.0095832,Kepler
54,136659,26.26,0.8910217,4.633963037470883,2051762472093410176,1.0703119,Kepler
59,136664,15.84,0.81288815,4.624467583897832,2051729624182562304,0.82343805,Kepler
61,136666,22.24,0.9052887,5.032728242706625,2051726050769850880,0.94398516,Kepler
62,136667,10.81,0.86434555,3.852892939026427,2051726669245244288,1.2164088,Kepler
63,136668,1.59,0.7066536,2.942669085053197,2051030781462923520,1.0702038,Kepler
65,136670,7.11,0.69687366,4.033144709664448,2051029956829203200,0.9895641,Kepler
66,136671,5.56,0.95921135,3.718975969071039,2051017827841550464,0.98980296,Kepler
68,136673,22.33,0.64737606,3.400056952000451,2051019305310376320,0.95765996,Kepler
70,136675,14.0,0.95635605,4.409509756731465,2051018205798742656,1.0121162,Kepler
76,136681,1.43,0.76441765,3.897778431349783,2051758452004263936,0.98007905,Kepler
78,136683,16.17,0.8730831,4.5692656012972925,2051757180693942400,1.0062709,Kepler
80,136685,4.64,0.7387285,3.930894990583134,2051776868824499328,0.9250712,Kepler
84,136689,9.3,0.8966789,5.145461253634844,2051727700037371264,0.9147943,Kepler
85,136690,19.36,0.84539795,5.053294545716767,2051728077994513920,0.9491475,Kepler
86,136691,8.56,0.9000788,5.088784141731026,2051728211129762432,1.037177,Kepler
87,136692,10.37,1.0353222,5.708553193515524,2051728249793250048,1.0082014,Kepler
89,136694,22.74,0.96799755,5.535900106838371,2051733472473635584,1.0075026,Kepler
91,136696,10.61,1.0433769,5.066190120950544,2051723057169052544,0.8946084,Kepler
94,136699,9.56,0.96967316,4.169850580076089,2051719247542076672,0.97127473,Kepler
97,136702,25.94,0.9826231,5.509500380924864,2099071124539094656,1.0253122,Kepler
98,136703,8.86,0.8427286,4.596602347650169,2099066245456228736,0.9489995,Kepler
102,136707,23.7,0.91773987,5.025726223785114,2099020443925085568,0.9794152,Kepler
104,136709,7.18,0.7093258,3.296845926874884,2051076892233181440,1.0095952,Kepler
107,136712,14.42,0.7239561,2.7755769005810347,2051034457955133824,0.8711282,Kepler
108,136713,16.19,1.0078688,5.209296687889383,2051034389235657216,1.313928,Kepler
109,136714,22.42,1.0533648,5.631101829232545,2051031017680073984,1.0875618,Kepler
110,136715,5.06,0.8323221,2.584585160063881,2051032705608343168,1.0463955,Kepler
112,136717,14.59,1.0067263,5.568309964102484,2051031709175938688,1.0466875,Kepler
113,136718,14.29,1.0247946,5.552704097800152,2051031709175944192,1.268142,Kepler
114,136719,11.14,1.3422298,5.803150895245691,2051019820706528640,1.1331874,Kepler
116,136721,9.56,0.9855776,4.987020399397977,2051773501569851648,1.3263624,Kepler
119,136724,23.03,0.87120533,4.097523830030299,2051770615351672064,0.91757137,Kepler
123,136728,20.36,0.77398777,3.0008869682831474,2051782568241032320,1.1161418,Kepler
126,136731,10.97,0.9774809,3.193429611078015,2051781610468412672,1.034099,Kepler
128,136733,6.53,0.91528034,3.8414228041619527,2051738626434571776,1.0034136,Kepler
130,136735,1.77,0.8207531,2.994321778411111,2051737286404500352,1.1542823,Kepler
133,136738,0.66,0.9509945,5.129634483110134,2051723714308062720,1.0007818,Kepler
140,136745,3.26,0.8462372,4.109849941423748,2099072498928987904,1.1013151,Kepler
141,136746,16.06,0.85449696,4.577904865749348,2099072155331249920,0.9237243,Kepler
142,136747,18.96,0.91222763,5.261435142853202,2099072979965026304,0.9988394,Kepler
143,136748,11.85,0.9822798,5.5346785191544114,2099077962127146880,0.9593335,Kepler
146,136751,10.23,0.93667126,5.356058789165518,2099073735879343872,1.0387772,Kepler
149,136754,31.93,1.1140432,6.113777077976014,2099028415384549120,0.8648352,Kepler
150,136755,13.08,0.801198,4.3521495576470866,2099027590750818816,0.92201185,Kepler
151,136756,18.45,0.87785625,5.050140008092672,2051081290279704448,1.0734192,Kepler
155,136760,17.57,0.9414568,5.2100937121760715,2051036897496570880,1.1966987,Kepler
156,136761,11.69,0.8659649,4.100625923238878,2051037275453705600,0.97609675,Kepler
158,136763,8.29,0.7879324,3.339997128010948,2052534707210488576,1.052236,Kepler
161,136766,2.85,0.75522614,3.686842673352661,2052533916936260096,1.1844745,Kepler
162,136767,8.85,0.9138012,4.863498285124519,2052522097186264960,1.0378149,Kepler
165,136770,18.86,0.90900326,5.037973180222082,2052519829443635584,0.9833322,Kepler
172,136777,18.83,0.9192934,4.6463754884065995,2051780648395826048,1.064684,Kepler
173,136778,10.23,0.8905897,4.54985259985326,2051786661350061952,0.9911218,Kepler
175,136780,11.53,0.8587837,4.687330750148021,2051830435654368000,0.92651266,Kepler
176,136781,10.9,0.8184347,3.470772587286902,2051818306666701184,1.035668,Kepler
178,136783,1.14,0.6223202,3.5637449191847477,2051822017518632448,0.89459366,Kepler
180,136785,2.64,0.75075626,3.8991060724668856,2051821777000474496,0.9523719,Kepler
185,136790,16.42,0.90076065,4.861525070104742,2099080401668709120,0.9974625,Kepler
189,136794,12.34,0.78734493,4.569494509832831,2051094175181542272,1.0108345,Kepler
192,136797,4.88,0.77482796,3.993999711955146,2051084210857809536,1.2627598,Kepler
193,136798,2.0,0.7325163,4.219327315589737,2051084588814968448,1.0227829,Kepler
195,136800,5.38,1.0593424,4.049861959243808,2052536940593555328,1.2982912,Kepler
196,136801,2.88,0.84551907,4.754103508731735,2052541987175338880,0.97179484,Kepler
197,136802,7.29,1.0327253,5.686426221985295,2052530171724900224,0.9760039,Kepler
205,136810,3.52,0.9452076,3.2855177130155973,2051790887598165504,1.003923,Kepler
206,136811,8.43,0.9555416,5.4360976252966395,2051788344977309952,0.9131557,Kepler
208,136813,1.09,0.7988548,4.394413328164628,2051835658334587904,1.0001391,Kepler
211,136816,19.66,1.0170889,5.622075962067283,2051833253152992384,1.0321786,Kepler
213,136818,9.76,0.8410244,2.860807647035461,2051826140687236352,0.9772559,Kepler
218,136823,10.3,0.8389921,4.5113006083144676,2051824491420004352,1.0352356,Kepler
220,136825,16.99,0.8253536,4.918265071361807,2051659186722369664,1.0295429,Kepler
225,136830,4.21,0.7359028,3.833570989393211,2099089232121291264,0.8880106,Kepler
226,136831,7.3,0.95092297,5.146374782846937,2099091259345916800,0.9784275,Kepler
228,136833,8.97,0.81283,4.37388282112169,2099171283175075328,0.97625256,Kepler
233,136838,12.0,0.822114,4.816848246467536,2051098435789124736,0.8608674,Kepler
234,136839,2.36,0.8250675,4.272756600962007,2051094862376832640,1.0229768,Kepler
236,136841,15.19,1.0260267,4.679975876385379,2051101287647613056,0.9532466,Kepler
239,136844,4.79,0.74018,3.4012784638115043,2052540170409137408,1.0109463,Kepler
240,136845,21.67,0.87047577,4.892058332305959,2052543090986759936,1.0296766,Kepler
242,136847,20.64,0.96113586,4.2897724931447865,2052542438151749248,1.2831814,Kepler
243,136848,15.53,1.0726995,4.866905882247387,2052542438151753600,1.0846269,Kepler
246,136851,20.63,0.98194027,5.454246048761018,2052552711713849088,0.9572574,Kepler
247,136852,3.55,0.7290478,3.708145119642312,2052552436835942016,1.1843076,Kepler
248,136853,13.34,0.83533955,4.869454850742372,2052553192750214016,0.99933356,Kepler
249,136854,15.53,0.9044657,4.958032436932735,2052553158390492288,1.0321639,Kepler
251,136856,4.21,0.9031563,4.487727451419021,2051802672988354432,1.3721815,Kepler
253,136858,3.71,0.75107574,3.837152646238101,2051804700213114240,0.9589224,Kepler
254,136859,20.21,1.0401897,5.451230804277529,2051793979974688000,1.0635302,Kepler
260,136865,10.91,1.1709166,5.4078260085700265,2051829301783411200,1.0075707,Kepler
263,136868,15.53,0.95439625,3.1533887348042917,2051851841772044416,1.0362877,Kepler
264,136869,6.71,0.99636173,4.685863310083903,2051824938096648448,1.0055363,Kepler
265,136870,22.08,0.9238548,5.354592801975796,2051848886834608640,1.0303563,Kepler
267,136872,18.47,0.9800148,5.655828742243347,2051847856042428160,0.96070355,Kepler
268,136873,6.3,0.81629944,3.6174580728147863,2051847684244243072,1.0315827,Kepler
273,136878,31.06,1.1465683,5.991435411545838,2051660973428837760,0.9607663,Kepler
274,136879,10.32,1.112256,5.950998149340979,2051657846692658176,1.0066205,Kepler
275,136880,21.52,0.9228773,5.192397337067625,2051662961989408384,0.9980912,Kepler
283,136888,23.87,1.0676918,5.659217860552875,2099175234545014912,1.0230767,Kepler
286,136891,14.49,0.8756809,4.991384018451841,2051105307736986496,0.9995592,Kepler
287,136892,11.37,0.7842798,4.496540640878607,2051104276944815744,0.98897606,Kepler
289,136894,2.94,0.72439575,1.973854323067128,2051106338529274240,0.92976725,Kepler
292,136897,8.72,0.8577175,4.117130893466081,2051102795175163008,0.95390993,Kepler
293,136898,5.21,0.78644466,2.9215468357994236,2051102558958196736,0.9713972,Kepler
299,136904,2.22,0.7259836,4.024149531776223,2052548382386513024,1.0084512,Kepler
