,source_id,in_training_sample,mh_xgboost,teff_xgboost,logg_xgboost,Unnamed: 0.1,Unnamed: 0,Prot,bp_rp,abs_G,ruwe,survey
0,2049137594251630080,False,0.182,4855.7,4.538,21487,158092,24.274,1.2664251,6.263861732494618,1.041997,Kepler
1,2050190548423109248,False,-0.107,5341.6,3.55,4,136609,10.98,1.0284443,2.577626042862633,1.0052588,Kepler
2,2050232256840088960,False,0.031,5877.2,3.649,1,136606,5.78,0.87486744,1.841301834006547,0.9240205,Kepler
3,2050237380747974016,False,0.052,5451.6,4.501,2,136607,21.19,0.92584324,5.158104386306057,1.0115082,Kepler
4,2050241710075252352,False,-0.024,5580.6,4.472,14,136619,6.52,0.8862448,5.050135379557474,0.9891382,Kepler
5,2050245901963299328,False,0.31,4938.6,4.533,21300,157905,21.216,1.1589947,5.953191824373793,0.9844007,Kepler
6,2050254457537860608,False,0.248,5566.0,4.426,19,136624,18.34,0.90043736,4.8182758709324585,0.9714061,Kepler
7,2050257652993785600,False,0.178,5114.4,3.606,21,136626,107.24,1.1681576,3.3621980893432486,0.97143155,Kepler
8,2051006764005686144,False,0.033,4947.9,4.561,21304,157909,35.564,1.1617136,6.093144351227927,1.0043353,Kepler
9,2051010921534018304,False,0.026,5834.4,4.258,21308,157913,0.585,0.88456154,4.169054731950467,1.0259674,Kepler
10,2051011299491171712,False,-0.18,5783.9,3.662,48,136653,8.56,0.9155445,2.3628207506608376,1.0340947,Kepler
11,2051011540009372288,False,-0.137,4554.8,4.599,19526,156131,34.717,1.4780807,7.103676436327017,1.0019255,Kepler
12,2051014804184830080,False,-0.068,4610.0,4.603,19529,156134,20.449,1.3876114,6.8984989873986144,1.0224776,Kepler
13,2051016419092259584,False,-0.126,4269.9,4.592,19528,156133,12.315,1.6416712,6.818015027576475,1.0207535,Kepler
14,2051016797049427968,False,-0.043,4889.3,4.589,21309,157914,9.726,1.2107439,6.389951013615352,0.99421716,Kepler
15,2051017827841550464,False,0.12,5792.4,4.02,66,136671,5.56,0.95921135,3.718975969071039,0.98980296,Kepler
16,2051018205798742656,False,0.135,5749.1,4.314,70,136675,14.0,0.95635605,4.409509756731465,1.0121162,Kepler
17,2051022599545802496,True,0.188,5783.1,3.872,21307,157912,22.514,0.9040117,2.9465906825848336,0.86847615,Kepler
18,2051023016161911680,False,-0.03,6058.1,4.324,46,136651,1.86,0.7209406,4.168263447294379,1.0150937,Kepler
19,2051023359759323136,False,0.019,5632.3,4.016,47,136652,18.21,0.97258854,3.6755857457945087,1.0329564,Kepler
20,2051027208049976320,True,0.192,4983.8,4.545,21311,157916,29.251,1.1260462,5.906115020701128,0.926971,Kepler
21,2051029956829203200,False,-0.061,6103.0,4.3,65,136670,7.11,0.69687366,4.033144709664448,0.9895641,Kepler
22,2051031017680073984,False,0.136,5218.2,4.53,109,136714,22.42,1.0533648,5.631101829232545,1.0875618,Kepler
23,2051031709175938688,False,0.027,5347.6,4.529,112,136717,14.59,1.0067263,5.568309964102484,1.0466875,Kepler
24,2051031709175944192,False,-0.096,5190.3,4.505,113,136718,14.29,1.0247946,5.552704097800152,1.268142,Kepler
25,2051032636889002880,True,0.25,5335.2,3.582,21313,157918,40.123,1.0930595,2.750069808216921,0.9936885,Kepler
26,2051032705608343168,False,0.186,6164.7,3.941,110,136715,5.06,0.8323221,2.584585160063881,1.0463955,Kepler
27,2051032946126550144,False,0.207,4410.8,4.58,19534,156139,31.319,1.5743647,7.0915129896047695,0.98115945,Kepler
28,2051034457955133824,False,0.023,6066.6,3.998,107,136712,14.42,0.7239561,2.7755769005810347,0.8711282,Kepler
29,2051036897496570880,False,-0.077,5524.5,4.442,155,136760,17.57,0.9414568,5.2100937121760715,1.1966987,Kepler
30,2051037275453705600,False,0.02,5674.6,4.247,156,136761,11.69,0.8659649,4.100625923238878,0.97609675,Kepler
31,2051076892233181440,True,0.074,6098.7,4.156,104,136709,7.18,0.7093258,3.296845926874884,1.0095952,Kepler
32,2051081290279704448,False,-0.273,5575.6,4.462,151,136756,18.45,0.87785625,5.050140008092672,1.0734192,Kepler
33,2051084210857809536,False,-0.103,5992.2,4.286,192,136797,4.88,0.77482796,3.993999711955146,1.2627598,Kepler
34,2051085619607113600,True,0.107,4419.3,4.57,19539,156144,21.665,1.5794582,7.137031893665714,1.0148023,Kepler
35,2051094175181542272,False,-0.315,5831.4,4.396,189,136794,12.34,0.78734493,4.569494509832831,1.0108345,Kepler
36,2051094862376832640,False,-0.104,5911.1,4.3,234,136839,2.36,0.8250675,4.272756600962007,1.0229768,Kepler
37,2051098435789124736,False,-0.012,5699.8,4.458,233,136838,12.0,0.822114,4.816848246467536,0.8608674,Kepler
38,2051101287647613056,False,0.193,5810.9,4.357,236,136841,15.19,1.0260267,4.679975876385379,0.9532466,Kepler
39,2051103108713923968,False,0.03,4982.4,4.575,21349,157954,13.296,1.1328716,6.082290216543445,0.9922697,Kepler
40,2051104276944815744,False,0.023,5811.6,4.376,287,136892,11.37,0.7842798,4.496540640878607,0.98897606,Kepler
41,2051105307736986496,False,0.02,5695.8,4.469,286,136891,14.49,0.8756809,4.991384018451841,0.9995592,Kepler
42,2051106338529274240,False,-0.218,6108.6,3.543,289,136894,2.94,0.72439575,1.973854323067128,0.92976725,Kepler
43,2051292980625569792,False,0.186,5581.8,4.634,21348,157953,23.879,1.238822,6.218499256569249,1.089569,Kepler
44,2051297206873964928,False,-0.189,4296.2,4.613,19558,156163,38.828,1.5962019,7.384389614859195,1.0499029,Kepler
45,2051301536201015168,False,-0.171,5453.9,3.805,539,137144,49.08,1.1196213,3.3962616100663325,0.9883066,Kepler
46,2051305934247185408,False,0.107,6084.4,4.305,446,137051,1.14,0.75239754,3.910565601050143,0.9343724,Kepler
47,2051310504092443520,False,-0.084,6319.0,4.259,447,137052,3.51,0.7719202,3.9020343850211248,1.0233226,Kepler
48,2051314592901555584,False,-0.15,4528.3,4.59,19573,156178,34.277,1.4538326,6.29620088235048,1.0983405,Kepler
49,2051318544271551744,False,0.106,6255.9,4.197,726,137331,4.7,0.72182846,3.4052570991455173,0.9490866,Kepler
50,2051361803183234176,True,-0.05,3833.5,4.647,19577,156182,13.318,2.042036,8.528246246375417,0.9605057,Kepler
51,2051362902694854272,False,0.116,5557.8,4.46,724,137329,21.19,0.8988733,5.010918225723337,0.99037915,Kepler
52,2051366029431306624,False,-0.06,5561.0,4.469,728,137333,15.08,0.94295406,5.249571748501497,1.054077,Kepler
53,2051367781777776256,False,-0.298,5894.5,3.664,725,137330,1.67,0.79209995,2.1332431276079067,0.98857313,Kepler
54,2051370702355713920,False,-0.012,5219.4,4.547,846,137451,19.25,1.0281115,5.6168972500698064,0.96269226,Kepler
