,Unnamed: 0.1,Unnamed: 0,source_id,in_training_sample,mh_xgboost,teff_xgboost,logg_xgboost,Prot,bp_rp,abs_G,ruwe,survey,teff
81135,81135,81135,2049136254223300224,False,0.298,5603.8,4.013,8.03,0.95554733,3.28766259161328,1.1897802,Kepler,5381.9118273232925
81136,81136,81136,2049136563459471232,False,0.261,5874.6,4.074,11.26,0.8526802,3.345820459002981,0.97113246,Kepler,5674.8500536962465
81137,81137,81137,2049137594251630080,False,0.182,4855.7,4.538,24.274,1.2664251,6.263861732494618,1.041997,Kepler,4667.688627724314
81215,81215,81215,2050190548423109248,False,-0.107,5341.6,3.55,10.98,1.0284443,2.577626042862633,1.0052588,Kepler,5191.156428375138
81216,81216,81216,2050192708796263168,False,0.168,5406.9,4.489,26.82,0.95311546,5.158089981995076,0.98033893,Kepler,5388.519404666985
81217,81217,81217,2050192919245159808,True,-0.232,5932.3,4.31,18.76,0.73938274,4.302913353969908,0.9380756,Kepler,6027.999793638426
81221,81221,81221,2050232256840088960,False,0.031,5877.2,3.649,5.78,0.87486744,1.841301834006547,0.9240205,Kepler,5609.369007756188
81222,81222,81222,2050234735047928320,False,0.121,5201.1,4.479,21.78,1.0474482,5.355786890459733,1.3505954,Kepler,5143.770796214615
81224,81224,81224,2050237380747974016,False,0.052,5451.6,4.501,21.19,0.92584324,5.158104386306057,1.0115082,Kepler,5463.686204782828
81227,81227,81227,2050239751570082432,False,0.15,5969.2,4.229,16.35,0.7713871,4.00951259097296,0.99630713,Kepler,5925.1465047342535
81228,81228,81228,2050241710075252352,False,-0.024,5580.6,4.472,6.52,0.8862448,5.050135379557474,0.9891382,Kepler,5576.274870153563
81230,81230,81230,2050243909098361856,True,0.218,6228.1,4.078,6.14,0.79311466,2.954544549512086,0.9349008,Kepler,5856.685295457953
81231,81231,81231,2050245901963299328,False,0.31,4938.6,4.533,21.216,1.1589947,5.953191824373793,0.9844007,Kepler,4885.286156800191
81233,81233,81233,2050249127471618560,False,-0.073,6176.1,4.279,2.39,0.6742115,3.731982497238846,1.2653402,Kepler,6244.570693765953
81236,81236,81236,2050254457537860608,False,0.248,5566.0,4.426,18.34,0.90043736,4.8182758709324585,0.9714061,Kepler,5535.456162237264
81237,81237,81237,2050255209148960384,False,-0.116,5358.3,4.516,32.59,0.9588537,5.428594308883289,1.0884577,Kepler,5372.953243058515
81238,81238,81238,2050257412475567744,False,0.114,6288.3,4.226,5.41,0.7567167,3.4437402834975064,1.0111246,Kepler,5971.999105320956
81239,81239,81239,2050257652993785600,False,0.178,5114.4,3.606,107.24,1.1681576,3.3621980893432486,0.97143155,Kepler,4865.540137674943
81241,81241,81241,2050261810522075520,False,0.112,5795.8,4.16,20.19,0.9116554,3.974381146936695,0.97950184,Kepler,5503.559512493352
